"filename", "language", "TypeScript", "CSS", "Less", "Markdown", "HTML", "comment", "blank", "total"
"d:\GitHub\Playground\src\index.html", "HTML", 0, 0, 0, 0, 14, 0, 2, 16
"d:\GitHub\Playground\src\index.ts", "TypeScript", 30, 0, 0, 0, 0, 19, 9, 58
"d:\GitHub\Playground\src\less\base.less", "Less", 0, 0, 12, 0, 0, 0, 2, 14
"d:\GitHub\Playground\src\less\classes.less", "Less", 0, 0, 111, 0, 0, 4, 25, 140
"d:\GitHub\Playground\src\less\fonts\Icons.ts", "TypeScript", 2160, 0, 0, 0, 0, 0, 1, 2161
"d:\GitHub\Playground\src\less\fonts\README.md", "Markdown", 0, 0, 0, 7, 0, 0, 3, 10
"d:\GitHub\Playground\src\less\fonts\fonts.less", "Less", 0, 0, 27, 0, 0, 2, 4, 33
"d:\GitHub\Playground\src\less\fonts\material.less", "Less", 0, 0, 24, 0, 0, 4, 5, 33
"d:\GitHub\Playground\src\less\fonts\materialOutlined.less", "Less", 0, 0, 21, 0, 0, 1, 2, 24
"d:\GitHub\Playground\src\less\fonts\materialRounded.less", "Less", 0, 0, 21, 0, 0, 1, 2, 24
"d:\GitHub\Playground\src\less\ids.less", "Less", 0, 0, 9, 0, 0, 3, 3, 15
"d:\GitHub\Playground\src\less\main.less", "Less", 0, 0, 7, 0, 0, 3, 5, 15
"d:\GitHub\Playground\src\less\modifiers.less", "Less", 0, 0, 60, 0, 0, 3, 11, 74
"d:\GitHub\Playground\src\less\modifiers\scrollBar.less", "Less", 0, 0, 12, 0, 0, 4, 4, 20
"d:\GitHub\Playground\src\less\text.less", "Less", 0, 0, 27, 0, 0, 0, 3, 30
"d:\GitHub\Playground\src\less\variables.less", "Less", 0, 0, 7, 0, 0, 0, 1, 8
"d:\GitHub\Playground\src\main.css", "CSS", 0, 346, 0, 0, 0, 10, 0, 356
"d:\GitHub\Playground\src\renderer.ts", "TypeScript", 4, 0, 0, 0, 0, 27, 4, 35
"d:\GitHub\Playground\src\ts\Classes\MouseListener\MouseListener.ts", "TypeScript", 97, 0, 0, 0, 0, 3, 23, 123
"d:\GitHub\Playground\src\ts\Enums\IconSize.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 1, 7
"d:\GitHub\Playground\src\ts\Enums\Mouse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"d:\GitHub\Playground\src\ts\Enums\Tag.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 1, 120
"d:\GitHub\Playground\src\ts\UI\UI.ts", "TypeScript", 106, 0, 0, 0, 0, 7, 25, 138
"d:\GitHub\Playground\src\ts\UI\UIBar.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"d:\GitHub\Playground\src\ts\UI\UIButton.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 16, 62
"d:\GitHub\Playground\src\ts\UI\UICanvas.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 4, 17
"d:\GitHub\Playground\src\ts\UI\UIElement.ts", "TypeScript", 223, 0, 0, 0, 0, 3, 44, 270
"d:\GitHub\Playground\src\ts\UI\UIFlexHorizontal.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 3, 13
"d:\GitHub\Playground\src\ts\UI\UIFlexVertical.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 2, 10
"d:\GitHub\Playground\src\ts\UI\UIMenu.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 3, 18
"d:\GitHub\Playground\src\ts\UI\UIPanel.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 6, 23
"d:\GitHub\Playground\src\ts\UI\UIPanelContainer.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 5, 20
"d:\GitHub\Playground\src\ts\UI\UIPanelHeader.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 7, 30
"d:\GitHub\Playground\src\ts\UI\UIPanelSection.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"d:\GitHub\Playground\src\ts\UI\UIPanelSlider.ts", "TypeScript", 96, 0, 0, 0, 0, 11, 16, 123
"d:\GitHub\Playground\src\ts\UI\UIPanelSliderHorizontal.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 3, 12
"d:\GitHub\Playground\src\ts\UI\UIPanelSliderVertical.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\GitHub\Playground\src\ts\declarations.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 3043, 346, 338, 7, 14, 106, 259, 4113